Tipo_evidencia,Nombre,Ruta_final_o_prevista,Fecha_captura_EXIF,Fuente_fecha_EXIF,Zona_horaria_EXIF,Dispositivo_EXIF,Fuente_dispositivo,SHA256,Estado_EXIF,Estado_privacidad,Observaciones
A6_FOTO_EQUIPO,2026-07-27_equipo_fabrogym_01.jpg,10_Autoria/fotos_equipo/2026-07-27_equipo_fabrogym_01.jpg,2026:07:27 17:52:21,DateTimeOriginal,-05:00,Xiaomi (MakerNote; modelo no expuesto),MakerNote EXIF,460cfc72669e44537a27f8254eacc3f4b153ab3985f98c33e6508dc09a748702,OK,PUBLICA_VERIFICADA,Fotografía real del equipo; nombre normalizado con fecha; EXIF original conservado.
A6_FOTO_EQUIPO,2026-07-27_equipo_fabrogym_02.jpg,10_Autoria/fotos_equipo/2026-07-27_equipo_fabrogym_02.jpg,2026:07:27 17:50:39,DateTimeOriginal,-05:00,Xiaomi (MakerNote; modelo no expuesto),MakerNote EXIF,af8adeba0a4d3d71332e4fd6a1b9ab45471ab2299a46c8bab1162833ef55b742,OK,PUBLICA_VERIFICADA,Fotografía real del equipo; nombre normalizado con fecha; EXIF original conservado.
F3-01_APLICACION_CUESTIONARIO,IMG_20260721_102618.jpg,02_Evidencias/Cuestionario/Fotos_Aplicacion/Aplicacion_Cuestionario_01.jpg,2026:07:21 10:26:17,DateTimeOriginal,,HONOR ABR-NX3,EXIF Make/Model,4a96114bb17d6e975aab4b0ee61a8d45ec2306da3c5dc5cca90ead074af2e116,OK,PUBLICA_ENMASCARADA_ORIGINAL_RESTRINGIDO,Copia pública enmascarada; original con EXIF conservado en contenedor restringido cifrado/protegido.
F3-01_APLICACION_CUESTIONARIO,IMG_20260721_104307.jpg,02_Evidencias/Cuestionario/Fotos_Aplicacion/Aplicacion_Cuestionario_02.jpg,2026:07:21 10:43:07,DateTimeOriginal,,HONOR ABR-NX3,EXIF Make/Model,56c4e5de24eac0e0f290ed2138cc5c46df6befc91ed545bf4bb4716166809dec,OK,PUBLICA_ENMASCARADA_ORIGINAL_RESTRINGIDO,Copia pública enmascarada; original con EXIF conservado en contenedor restringido cifrado/protegido.
F3-01_APLICACION_CUESTIONARIO,IMG_20260721_154701.jpg,02_Evidencias/Cuestionario/Fotos_Aplicacion/Aplicacion_Cuestionario_03.jpg,2026:07:21 15:47:01,DateTimeOriginal,,HONOR ABR-NX3,EXIF Make/Model,0bd8fce17af4a37154d3da915c2477501f8563609217c5fb6d46b6d57d59256d,OK,PUBLICA_ENMASCARADA_ORIGINAL_RESTRINGIDO,Copia pública enmascarada; original con EXIF conservado en contenedor restringido cifrado/protegido.
F3-01_APLICACION_CUESTIONARIO,IMG_20260721_154901.jpg,02_Evidencias/Cuestionario/Fotos_Aplicacion/Aplicacion_Cuestionario_04.jpg,2026:07:21 15:49:01,DateTimeOriginal,,HONOR ABR-NX3,EXIF Make/Model,a43d230a85394d97a3cf20772aa645ea4b344574f80357fe99b79b9db0552dfe,OK,PUBLICA_ENMASCARADA_ORIGINAL_RESTRINGIDO,Copia pública enmascarada; original con EXIF conservado en contenedor restringido cifrado/protegido.
F3-01_APLICACION_CUESTIONARIO,IMG_20260825_142844.jpg,02_Evidencias/Cuestionario/Fotos_Aplicacion/Aplicacion_Cuestionario_05.jpg,2026:08:25 14:28:44,DateTimeOriginal,,HONOR ABR-NX3,EXIF Make/Model,fb0b3a9e733d5777750b6821f1b178e7b1911faa7e8ae933081e937fc481943c,OK,PUBLICA_ENMASCARADA_ORIGINAL_RESTRINGIDO,Copia pública enmascarada; original con EXIF conservado en contenedor restringido cifrado/protegido.
FOTO_ENTORNO_CAMPO,EV-FOT-ENT-01_levantamiento_informacion_area_funcional.jpg,02_Evidencias/Fotos_Entorno/EV-FOT-ENT-01_levantamiento_informacion_area_funcional.jpg,2026:07:27 17:49:15,DateTimeOriginal,,Xiaomi 15T,EXIF Make/Model,0442f1fbd16d6dba18031f5b74a5a3203541a5fc6a912e61c237f89576f307e3,OK,PUBLICA_DOCUMENTADA,Fotografía de entorno físicamente presente; fecha/dispositivo leídos de metadatos y SHA-256 calculado sobre el archivo actual.
FOTO_ENTORNO_CAMPO,EV-FOT-ENT-02_vista_general_area_entrenamiento.jpg,02_Evidencias/Fotos_Entorno/EV-FOT-ENT-02_vista_general_area_entrenamiento.jpg,2026:07:27 17:50:38,DateTimeOriginal,,Xiaomi 15T,EXIF Make/Model,838b2d9d6f747a27be08bef50d83b983ad22fb9689a4f7b4b55de33572ff6494,OK,PUBLICA_DOCUMENTADA,Fotografía de entorno físicamente presente; fecha/dispositivo leídos de metadatos y SHA-256 calculado sobre el archivo actual.
FOTO_ENTORNO_CAMPO,EV-FOT-ENT-03_estanteria_implementos_entrenamiento.jpg,02_Evidencias/Fotos_Entorno/EV-FOT-ENT-03_estanteria_implementos_entrenamiento.jpg,2026:07:27 17:51:05,DateTimeOriginal,,Xiaomi 15T,EXIF Make/Model,e0ca58f88ba7351d014e93e124c8a2522da3a827b0d2c0b093e32d42c92f86ea,OK,PUBLICA_DOCUMENTADA,Fotografía de entorno físicamente presente; fecha/dispositivo leídos de metadatos y SHA-256 calculado sobre el archivo actual.
FOTO_ENTORNO_CAMPO,EV-FOT-ENT-05_registro_observacion_junto_maquinaria.jpg,02_Evidencias/Fotos_Entorno/EV-FOT-ENT-05_registro_observacion_junto_maquinaria.jpg,2026:07:27 17:52:15,DateTimeOriginal,,Xiaomi 15T,EXIF Make/Model,28bc26ced10681cdcc5adc5bba1679fb65c98c4ddd56df207231d3513d04b1c6,OK,PUBLICA_DOCUMENTADA,Fotografía de entorno físicamente presente; fecha/dispositivo leídos de metadatos y SHA-256 calculado sobre el archivo actual.
FOTO_ENTORNO_CAMPO,EV-FOT-ENT-06_vista_entrenamiento_garrosh.png,02_Evidencias/Fotos_Entorno/EV-FOT-ENT-06_vista_entrenamiento_garrosh.png,,,,,,13d8f851e7557bfbacf7380b75c08f55d6351e8977e4035d2fc0a0969ee7c4c5,SIN_EXIF,PUBLICA_DOCUMENTADA,Fotografía de entorno físicamente presente sin fecha ni dispositivo EXIF recuperables. La ausencia se declara; no se inventan metadatos.
